25-03-2024 23:53:34.389 [main] INFO  org.mongodb.driver.client.info - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.11.1"}, "os": {"type": "Linux", "name": "Linux", "architecture": "amd64", "version": "6.5.0-25-generic"}, "platform": "Java/Private Build/17.0.10+7-Ubuntu-122.04.1"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=null, transportSettings=null, streamFactoryFactory=null, commandListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsCommandListener@3c33fcf8], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@dada335, com.mongodb.Jep395RecordCodecProvider@716f94c1, com.mongodb.KotlinCodecProvider@53feeac9]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[localhost:27017], srvServiceName=mongodb, mode=SINGLE, requiredClusterType=UNKNOWN, requiredReplicaSetName='null', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsConnectionPoolListener@70091872], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=false, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null}
25-03-2024 23:53:34.398 [cluster-ClusterId{value='6602006e08b09924525990ff', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster.info - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=9485322}
25-03-2024 23:53:35.017 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver.<init> - Exposing 15 endpoint(s) beneath base path '/actuator'
25-03-2024 23:53:35.049 [main] INFO  o.a.coyote.http11.Http11NioProtocol.log - Starting ProtocolHandler ["http-nio-0.0.0.0-8084"]
25-03-2024 23:53:35.059 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port 8084 (http) with context path ''
25-03-2024 23:53:35.074 [main] INFO  c.t.d.DevicestatusApplication.logStarted - Started DevicestatusApplication in 2.173 seconds (process running for 2.446)
25-03-2024 23:53:57.489 [http-nio-0.0.0.0-8084-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring DispatcherServlet 'dispatcherServlet'
25-03-2024 23:53:57.490 [http-nio-0.0.0.0-8084-exec-2] INFO  o.s.web.servlet.DispatcherServlet.initServletBean - Initializing Servlet 'dispatcherServlet'
25-03-2024 23:53:57.491 [http-nio-0.0.0.0-8084-exec-2] INFO  o.s.web.servlet.DispatcherServlet.initServletBean - Completed initialization in 1 ms
25-03-2024 23:53:57.820 [http-nio-0.0.0.0-8084-exec-2] INFO  c.t.d.service.DevicestatusService.getRoaming - El usuario está en roaming en Mozambique
26-03-2024 00:16:26.444 [background-preinit] INFO  o.h.validator.internal.util.Version.<clinit> - HV000001: Hibernate Validator 8.0.1.Final
26-03-2024 00:16:26.464 [main] INFO  c.t.d.c.DevicestatusControllerTest.logStarting - Starting DevicestatusControllerTest using Java 17.0.10 with PID 525785 (started by alejandro in /home/alejandro/TFM/devicestatus)
26-03-2024 00:16:26.465 [main] INFO  c.t.d.c.DevicestatusControllerTest.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
26-03-2024 00:16:27.750 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext.log - Initializing Spring TestDispatcherServlet ''
26-03-2024 00:16:27.751 [main] INFO  o.s.t.w.s.TestDispatcherServlet.initServletBean - Initializing Servlet ''
26-03-2024 00:16:27.754 [main] INFO  o.s.t.w.s.TestDispatcherServlet.initServletBean - Completed initialization in 2 ms
26-03-2024 00:16:27.771 [main] INFO  c.t.d.c.DevicestatusControllerTest.logStarted - Started DevicestatusControllerTest in 1.554 seconds (process running for 2.159)
26-03-2024 00:16:27.983 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils.detectDefaultConfigurationClasses - Could not detect default configuration classes for test class [com.tfm.devicestatus.service.DevicestatusServiceTest]: DevicestatusServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
26-03-2024 00:16:27.995 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getOrFindConfigurationClasses - Found @SpringBootConfiguration com.tfm.devicestatus.DevicestatusApplication for test class com.tfm.devicestatus.service.DevicestatusServiceTest
26-03-2024 00:16:28.126 [main] INFO  c.t.d.s.DevicestatusServiceTest.logStarting - Starting DevicestatusServiceTest using Java 17.0.10 with PID 525785 (started by alejandro in /home/alejandro/TFM/devicestatus)
26-03-2024 00:16:28.127 [main] INFO  c.t.d.s.DevicestatusServiceTest.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
26-03-2024 00:16:28.543 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext.log - Initializing Spring TestDispatcherServlet ''
26-03-2024 00:16:28.543 [main] INFO  o.s.t.w.s.TestDispatcherServlet.initServletBean - Initializing Servlet ''
26-03-2024 00:16:28.544 [main] INFO  o.s.t.w.s.TestDispatcherServlet.initServletBean - Completed initialization in 1 ms
